API,bottom,file_number,fluid_bbl,fluid_bbl_per_ft,fluid_gal,fluid_gal_per_ft,ft_per_stage,lateral_length,max_treat_press,max_treat_rate,propp_lbs,propp_lbs_per_ft,stages,top,treatment_date
33061029770000,20171,27710,63941,6,2685522,273,280,9806,8239,46.3,3222497,328,35,10365,3/14/15
33053065160000,20490,30120,55859,6,2346078,260,300,9020,8820,41.4,3360688,372,30,11470,2/27/15
33061032390000,15774,29063,46076,9,1935192,379,221,5102,8982,89.6,1676744,328,23,10672,2/16/15
33025026550000,20688,29220,67183,7,2821686,307,262,9190,8327,44.1,4035990,439,35,11498,2/15/15
33053064110000,21157,29814,59245,2,2488290,124,666,20007,9171,40.6,3522422,176,30,1150,2/15/15
33053064120000,21556,29815,60683,6,2548686,254,333,10006,8571,40.5,3667656,366,30,11550,2/15/15
33061027470000,20080,26595,127457,13,5353194,552,201,9681,9789,39.1,9722230,1004,48,10399,2/15/15
33061027490000,19969,26597,128705,13,5405610,559,201,9660,9288,28.9,9716840,1005,48,10309,2/11/15
33053063850000,21121,29725,59978,6,2519076,264,317,9521,8772,57.2,3622980,380,30,11600,2/9/15
33053063870000,20566,29727,58438,6,2454396,272,300,9016,8741,42.1,3364956,373,30,11550,2/9/15
33053063860000,20811,29726,58840,6,2471280,263,312,9371,8743,41,3506454,374,30,11440,2/9/15
33025903100000,5800,90310,47,0,2000,40,49,49,2500,4,0,0,1,5751,2/6/15
33061027480000,20058,26596,125518,13,5271756,549,199,9598,9877,41.2,9342460,973,48,10460,2/6/15
33025903100000,5690,90310,95,1,4000,51,77,77,2500,4,0,0,1,5613,2/5/15
33053057270000,21375,27810,0,0,0,0,10120,10120,0,0,0,0,1,11255,2/2/15
33105029740000,17405,24794,78772,13,3308424,582,202,5680,8615,44.6,6371090,1121,28,11725,2/2/15
33053059310000,20710,28372,37046,3,1555932,150,294,10316,8329,27,2522667,244,35,10394,1/30/15
33061033010000,19240,29355,71890,8,3019380,360,107,8370,8823,23.3,3615780,431,78,10870,1/30/15
33105036260000,22425,28936,150413,13,6317346,559,282,11286,8431,50,7973766,706,40,11139,1/29/15
33105033480000,20451,27164,43972,4,1846824,181,291,10189,7972,31,28858251,2832,35,10262,1/29/15
33053037830000,21066,21536,133975,13,5626985,581,241,9676,9189,36.4,10030450,1036,40,11390,1/27/15
33053037840000,20805,21537,124479,13,5228134,548,238,9540,9060,36.5,10044658,1052,40,11265,1/27/15
33053061450000,20637,29018,57839,6,2429238,258,312,9387,8770,42.4,3507454,373,30,11250,1/26/15
33053062110000,21608,29198,62902,6,2641884,255,344,10338,9382,41.8,3582419,346,30,11270,1/26/15
33105033460000,20079,27162,43337,4,1820154,185,280,9804,8177,31,2852401,290,35,10275,1/24/15
33105035660000,20580,28623,201084,20,8445528,871,293,9690,9120,83,576296,59,33,10890,1/22/15
33105030120000,20283,25082,200698,21,8429316,895,303,9415,9164,83.9,5604960,595,31,10868,1/22/15
33105028470000,19689,24072,79031,8,3319302,347,136,9545,8410,21,3273192,342,70,10144,1/22/15
33105036500000,21725,29035,177927,17,7472934,731,255,10210,9020,52,7481326,732,40,11515,1/19/15
33025025350000,22639,28355,59574,6,2502108,262,297,9535,8367,40.9,3713520,389,32,13104,1/18/15
33053058140000,20586,28141,40050,4,1682100,168,284,9955,8961,32.8,2452243,246,35,10631,1/17/15
33023012530000,14467,28858,482,0,20280,8,2473,2473,7494,3.9,0,0,1,11994,1/17/15
33053060930000,20515,28812,94178,10,3955494,432,326,9154,8848,40.7,6107886,667,28,11361,1/16/15
33025025330000,22751,28353,63735,6,2676870,280,298,9547,8032,41.6,3726370,390,32,13204,1/16/15
33105032580000,19873,26756,24975,2,1048950,106,429,9869,8412,31.1,1817256,184,23,10004,1/16/15
33025024810000,20537,27789,83747,9,3517374,379,205,9267,8790,40,3489624,376,45,11270,1/16/15
33025024820000,21274,27790,104203,10,4376526,436,222,10026,8438,39,3867489,385,45,11248,1/14/15
33053056460000,22225,27551,147133,13,6179586,574,268,10757,9500,50.4,5710562,530,40,11468,1/14/15
33053058150000,20607,28142,42948,4,1803816,181,283,9926,8508,27,2417675,243,35,10681,1/14/15
33105035730000,21720,28642,119317,11,5011314,491,340,10203,8991,51,5818040,570,30,11517,1/12/15
33105033860000,20372,27440,44605,4,1873410,177,301,10567,7966,31,2806702,265,35,9805,1/12/15
33105029080000,19607,24451,83396,8,3502632,370,134,9447,725,21,8479855,897,70,10160,1/11/15
33053058130000,20039,28140,43122,4,1811124,191,278,9472,8691,27,2279964,240,34,10567,1/11/15
33053055820000,20611,27382,88446,9,3714732,402,205,9227,42,8641,3518598,381,45,11384,1/11/15
33025023130000,21030,26702,127575,12,5358150,523,213,10235,9543,38.2,9478060,926,48,10795,1/11/15
33053060980000,20685,28817,230822,24,9694524,1041,300,9305,9118,79.3,3798150,408,31,11380,1/10/15
33105033790000,19984,27351,57503,5,2415126,237,290,10168,7979,32,2798295,275,35,9816,1/10/15
33025025430000,22599,28365,40528,6,1702176,272,297,6244,8308,40.7,2249737,360,21,16355,1/10/15
33053057290000,20530,27812,0,0,0,0,259,9324,0,0,0,0,36,11206,1/9/15
33053057300000,20615,27813,0,0,0,0,266,9312,0,0,0,0,35,11303,1/9/15
33053057310000,20720,27814,0,0,0,0,256,9506,0,0,0,0,37,11214,1/8/15
33053057280000,20775,27811,0,0,0,0,257,9543,0,0,0,0,37,11232,1/8/15
33061032620000,19978,29187,30070,3,1262940,133,673,9434,8103,29,1344080,142,14,10544,1/8/15
33105036510000,21298,29036,302662,30,12711804,1284,247,9896,8760,71,5994429,605,40,11402,1/6/15
33061032240000,15727,28944,40930,8,1719060,344,217,4997,8332,52.5,1708360,341,23,10730,1/6/15
33025021610000,19530,25585,59549,6,2501058,282,305,8860,9130,41.2,3631696,409,29,10670,1/6/15
33025023140000,20560,26703,136573,13,5736066,569,209,10074,9221,37.4,9995280,992,48,10486,1/5/15
33105033780000,19824,27350,47706,4,2003652,200,286,10012,9754,32,2821377,281,35,9812,1/5/15
33105034430000,18903,27773,46179,5,1939518,216,255,8946,7996,32,2352429,262,35,9957,1/5/15
33061032610000,20507,29186,57090,5,2397780,240,284,9963,8459,30,3114350,312,35,10544,1/5/15
33025024800000,19953,27788,67868,7,2850456,332,285,8570,8651,37,3398032,396,30,11383,1/5/15
33053056090000,21525,27478,86451,8,3630970,367,394,9874,8483,40.2,4169270,422,25,11651,1/3/15
33053056110000,21630,27480,88240,8,3706105,376,393,9834,9181,39.9,4058709,412,25,11796,1/3/15
33053056080000,21019,27477,79311,8,3331080,354,375,9394,8648,40,4029624,428,25,11625,1/3/15
33053055830000,20941,27383,49514,5,2079588,219,315,9468,37,8941,3670423,387,30,11473,1/3/15
33013017730000,18600,27668,113744,12,4777248,540,252,8832,10122,40.4,4498315,509,35,9768,1/3/15
33105035740000,21542,28643,222609,22,9349578,925,336,10106,9002,81,4214271,417,30,11436,1/2/15
33025015580000,21457,21963,145633,14,6116586,616,202,9925,9854,71,4079756,411,49,11532,1/2/15
33105034410000,19417,27771,44500,4,1869000,197,269,9449,8162,31,2311835,244,35,9968,1/2/15
33025025420000,22550,28364,57040,5,2395680,251,307,9544,8472,42.1,3607660,378,31,13006,1/2/15
33025024790000,19635,27787,66536,7,2794512,335,277,8333,8252,37,313915,37,30,11302,1/1/15
33053056450000,22053,27550,309558,29,13001436,1219,266,10661,8787,61.4,6025738,565,40,11392,1/1/15
33053060990000,20345,28818,84563,9,3551646,395,289,8969,9230,54.5,3767566,420,31,11376,1/1/15
33061031370000,21340,28574,39646,3,1665132,156,304,10663,8395,29.9,2497385,234,35,10677,12/31/14
33025023150000,20624,26704,143242,14,6016164,598,201,10060,10444,42.4,9661620,960,50,10564,12/31/14
33061032600000,19235,29185,57222,6,2403324,276,362,8695,8606,32,2263718,260,24,10540,12/31/14
33061019380000,13741,21978,29958,7,1258236,319,246,3944,7883,40.5,1606840,407,16,9797,12/29/14
33105027230000,20517,23363,58554,6,2459268,256,319,9599,7877,24,3483041,362,30,10918,12/28/14
33105034400000,19791,27770,41525,4,1744050,176,291,9909,8149,31,2345348,236,34,9882,12/28/14
33053060540000,20705,28751,95472,10,4009824,425,314,9430,9433,52.2,4472223,474,30,11275,12/27/14
33053051040000,19972,25890,65432,7,2748144,299,305,9167,7803,40,3350980,365,30,10805,12/27/14
33053058950000,19934,28287,50325,5,2113650,239,294,8821,9205,40.8,3506250,397,30,11113,12/27/14
33053060530000,20628,28750,299969,31,12598698,1335,235,9436,9435,73,5937624,629,40,11192,12/26/14
33013017960000,18886,28888,80783,8,3392886,373,239,9087,10238,39.5,4954771,545,38,9799,12/26/14
33023012270000,17932,28614,52270,5,2195340,234,373,9342,6472,55,2005993,214,25,8590,12/26/14
33105034420000,19033,27772,40573,4,1704066,186,261,9150,8072,31,2352444,257,35,9883,12/26/14
33061031380000,21853,28575,49537,4,2080554,183,323,11312,8253,31.8,3281871,290,35,10541,12/25/14
33053058970000,20038,28289,51207,5,2150694,236,302,9088,8769,40.8,3496565,384,30,10950,12/25/14
33105035710000,20975,28640,167314,17,7027188,746,235,9409,9140,51,7903534,839,40,11566,12/24/14
33025021640000,20440,25588,118202,12,4964484,523,395,9485,9095,35.8,6057491,638,24,10955,12/24/14
33061032630000,18495,29188,59528,7,2500176,309,230,8070,8346,32,3160270,391,35,10425,12/24/14
33023012500000,18147,28836,45271,4,1901382,196,371,9660,8989,52.6,2918140,302,26,8487,12/23/14
33053061060000,20320,28827,55339,6,2324238,257,300,9014,9019,40.9,3175516,352,30,11306,12/23/14
33105032440000,20865,26685,226327,24,9505734,1027,264,9255,9508,80.7,3945892,426,35,11610,12/23/14
33025021620000,20045,25586,50942,6,2139564,287,309,7435,9100,55.9,2517910,338,24,12610,12/23/14
33025021630000,19667,25587,91672,10,3850224,426,429,9029,8514,36.2,4878871,540,21,10638,12/23/14
33053055840000,21200,27384,80639,8,3386838,345,327,9815,36,9267,3781196,385,30,11385,12/23/14
33105036070000,20587,28878,72456,7,3043152,302,223,10072,7180,34.4,3472063,344,45,10515,12/23/14
33105036060000,20727,28877,74068,7,3110856,319,216,9741,8275,35.9,3270302,335,45,10986,12/23/14
33061031180000,14795,28450,21588,7,906696,330,211,2743,6951,35.6,1823140,664,13,12052,12/22/14
33025025480000,20888,28396,100446,10,4218732,459,306,9188,37,8806,3628187,394,30,11700,12/22/14
33013018030000,12152,29125,84872,16,3564624,712,192,5004,5279,27,3888354,777,26,7148,12/22/14
33023012490000,18558,28835,49380,4,2073960,206,591,10050,8686,51.3,3019400,300,17,8508,12/21/14
33061031010000,22452,28324,58873,5,2472666,210,335,11746,8624,31,3415823,290,35,10706,12/20/14
33023012480000,18447,28834,40568,4,1703856,169,335,10054,8675,42.2,2004620,199,30,8393,12/19/14
33023012290000,18544,28616,53475,5,2245950,227,394,9872,6515,56.7,2006720,203,25,8672,12/19/14
33023012300000,18233,28617,54861,5,2304162,239,384,9602,6730,59.6,2052180,213,25,8631,12/19/14
33025025820000,21083,28590,75793,7,3183326,323,393,9831,8348,36.4,3539191,360,25,11252,12/19/14
33025025800000,21021,28588,67029,6,2815235,287,391,9795,8523,36.8,3485941,355,25,11226,12/19/14
33025025810000,21056,28589,71261,7,2992998,304,393,9844,9198,36.6,3554355,361,25,11212,12/19/14
33053060620000,20410,28765,60561,6,2543562,257,309,9893,8562,37.5,3557960,359,32,10517,12/19/14
33105031420000,20307,26065,98732,10,4146744,424,217,9767,8993,44,3910102,400,45,10540,12/18/14
33053061620000,21303,29066,36379,3,1527918,150,289,10133,8346,26,1949743,192,35,11170,12/18/14
33025024780000,20981,27786,95285,10,4001970,424,314,9426,30,9092,3718001,394,30,11555,12/17/14
33105036530000,20845,29038,163359,17,6861078,720,238,9525,9501,51,7964057,836,40,11320,12/17/14
33053060630000,20348,28766,62653,6,2631426,268,306,9817,9702,45.6,3562560,362,32,10531,12/17/14
33053061860000,21270,29141,37551,3,1577142,154,291,10208,8321,26.9,1925127,188,35,11062,12/17/14
33013903080000,5033,90308,95,0,4000,41,97,97,2100,10,0,0,1,4936,12/17/14
33053061210000,22213,28930,1196868,113,50268456,4773,351,10531,9272,75,3493481,331,30,11682,12/16/14
33053061610000,21420,29065,38923,3,1634766,159,292,10253,8160,32.8,1886359,183,35,11167,12/16/14
33023012280000,17320,28615,52828,6,2218776,259,341,8545,6461,57.1,206098,24,25,8775,12/16/14
33105032170000,20915,26487,192987,19,8105454,805,304,10060,9146,82.1,5863284,582,33,10855,12/15/14
33105032150000,21281,26485,196615,18,8257830,796,304,10366,9219,81.9,5941100,573,34,10915,12/15/14
33025023160000,20355,26705,143785,14,6038970,606,195,9954,8964,41.5,10019820,1006,51,10401,12/15/14
33053061870000,20720,29142,35070,3,1472940,152,276,9660,8371,25.5,1928414,199,35,11060,12/15/14
33105035720000,21005,28641,259216,27,10887072,1135,239,9585,9050,82,4598329,479,40,11420,12/15/14
33053060640000,20175,28767,62805,6,2637810,267,307,9855,8667,40.5,3563340,361,32,10320,12/14/14
33053020770000,11264,11619,35,3,1500,150,10,10,0,0,0,0,1,11254,12/14/14
33053061470000,20171,29020,55344,6,2324448,260,297,8931,8794,41.9,3293262,368,30,11240,12/14/14
33053061460000,20130,29019,54241,6,2278122,256,296,8895,8821,41.2,2664664,299,30,11235,12/14/14
33105027250000,22585,23365,72511,6,3045462,259,308,11720,8557,23,3764730,321,38,10865,12/14/14
