DEPTH,VP,VS,RHO_OLD,GR,NPHI,RHO,SW,SWX,VPVS,IP,IS,VSH,RHOm,RHOf,PHI
2013.2528,2294.7,876.9,1.9972,91.8785,0.4908,2.240104,1,1,2.61683202189531,5144.84685679999,2112.418072,0.493621240672944,2.72897939850767,1.09,0.294311504467115
2013.4052,2296.7,943,2.0455,86.8004,0.4833,2.240104,1,1,2.4355249204666,5144.84685679999,2112.418072,0.436009897429323,2.71976158358869,1.09,0.294311504467115
2013.5576,2290.4,912.5,2.1122,86.0021,0.4474,,1,1,,,,,2.71831250191448,1.09,0.292342226295502
2013.71,2277.5,891.6,2.196,87.357,0.414,2.2428,1,1,2.55439659039928,5107.977,1999.68048,0.442324557173991,2.72077192914784,1.09,0.293095509313558
2013.8624,2262,890.5,2.202,90.4024,0.4293,2.240064,1,1,2.54014598540146,5067.024768,1994.776992,0.476874799334272,2.72629996789348,1.09,0.29715576448947
2014.0148,2263.1,863.1,2.1667,93.3074,0.4746,2.237408,1,1,2.6220600162206,5063.47804480001,1931.1068448,0.509832195234848,2.73157315123758,1.09,0.301031453191729
2014.1672,2256.7,817.5,2.137,91.9733,0.501,2.234,1,1,2.76048929663608,5041.4678,1826.295,0.494696752250009,2.72915148036,1.09,0.302077926471599
2014.3196,2248.9,810.6,2.1302,88.627,0.473,2.233804,1,1,2.77436466814705,5023.6018156,1810.7215224,0.45673278188784,2.72307724510205,1.09,0.299602022237153
2014.472,2239.1,790.2,2.1424,84.5827,0.4236,2.23228,1,1,2.83358643381422,4998.298148,1763.947656,0.41084996046247,2.715735993674,1.09,0.297376693113274
2014.6244,2242.9,725.3,2.2003,84.5907,0.4114,2.230268,1,1,3.09237556873018,5002.2680972,1617.6133804,0.410940720933108,2.7157505153493,1.09,0.298620551410368
2014.7769,2234.6,725.3,2.2142,84.4878,0.443,2.2283845,1,1,3.08093202812629,4979.5480037,1616.24727785,0.409773314379522,2.71556373030072,1.09,0.299698634522681
2014.9292,2195.6,688.8,2.1851,86.194,0.506,2.228416,1,1,3.18757259001161,4892.7101696,1534.9329408,0.429130253754931,2.71866084060079,1.09,0.301011007558789
2015.0815,2181.8,762.2,2.1432,83.5144,0.532,2.222925,1,1,2.86250327997901,4849.977765,1694.313435,0.398730034114592,2.71379680545833,1.09,0.302298787513491
2015.234,2181.4,748.4,2.0798,85.3374,0.5283,2.21598,1,1,2.91475146980224,4833.93877200001,1658.439432,0.419412076361322,2.71710593221781,1.09,0.307986051980496
2015.3864,2200,766.7,2.0668,80.9337,0.505,2.214,1,1,2.86944045911047,4870.8,1697.4738,0.369451840792521,2.7091122945268,1.09,0.305792437127718
2015.5388,2206.8,787.5,2.0839,83.6182,0.4759,2.21594,1,1,2.80228571428571,4890.13639200001,1745.05275,0.399907651221125,2.71398522419538,1.09,0.30668088402229
2015.6912,2210.4,789.5,2.0904,84.59,0.4922,2.219456,1,1,2.79974667511083,4905.8855424,1752.260512,0.410932779391928,2.71574924470271,1.09,0.305270475333029
2015.8436,2261.8,851.5,2.071,88.994,0.4982,2.220436,1,1,2.65625366999413,5022.1821448,1890.701254,0.460896418478378,2.72374342695654,1.09,0.308070054729548
2015.996,2271.4,860.7,2.073,90.1404,0.5066,2.22724000000001,1,1,2.63901475543162,5058.95293600001,1916.985468,0.473902393920864,2.72582438302734,1.09,0.304790898216487
2016.1484,2293.2,835,2.0944,89.5602,0.4927,2.234484,1,1,2.74634730538922,5124.1187088,1865.79414,0.467319990787812,2.72477119852605,1.09,0.29991181577465
2016.3008,2351,864.3,2.1115,88.631,0.4738,2.236048,1,1,2.72012032858961,5256.948848,1932.6162864,0.45677816212316,2.72308450593971,1.09,0.298231049384339
