DEPTH,VP,VS,RHO_OLD,GR,NPHI,RHO,SW,SWX,VPVS,IP,IS,VSH,RHOm, RHOfluid,PHI,LFC
2100.1208,2379.6,948.0,2.2562,91.5983,0.4117,2.256416,1.0,0.881679790026246,2.51012658227848,5369.36751360001,2139.082368,0.490442355188833,2.72847077683021,1.09,0.288106924765204,0.0
2100.2732,2386.1,942.7,2.2579,94.3741,0.4241,2.259464,1.0,0.886767564018398,2.53113397687493,5391.30705040001,2129.9967128,0.521933969488599,2.73350943511818,1.09,0.288434872954706,0.0
2100.4255,2386.0,944.2,2.2622,94.2315,0.4307,2.26531499999997,1.0,0.906035386631705,2.52700699004448,5405.04158999993,2138.91042299997,0.520316164099469,2.73325058625592,1.09,0.284762159934548,0.0
2100.5779,2394.3,989.2,2.275,92.6377,0.4179,2.27889500000001,1.0,0.938550886408463,2.42044076021027,5456.35829850003,2254.28293400001,0.50223440933653,2.73035750549384,1.09,0.275222019579148,0.0
2100.7305,2372.0,984.0,2.2854,92.4617,0.4056,2.28622000000001,1.0,0.983700787401614,2.41056910569106,5422.91384000002,2249.64048000001,0.500237678982484,2.7300380286372,1.09,0.270614474108252,0.0
2100.8828,2362.2,984.0,2.2894,92.6755,0.4138,2.28610200000001,1.0,1.0,2.40060975609756,5400.23014440002,2249.52436800001,0.502663252560296,2.73042612040965,1.09,0.270858964558966,0.0
2101.0352,2360.0,981.0,2.2818,96.884,0.4162,2.27636800000003,1.0,0.99134796854525,2.40570846075433,5372.22848000006,2233.11700800003,0.55040893264552,2.73806542922328,1.09,0.28014508467716,0.0
2101.1875,2371.8,974.4,2.2656,96.7039,0.4293,2.263375,1.0,0.980972440944898,2.43411330049261,5368.272825,2205.4326,0.548365687550273,2.73773851000804,1.09,0.287887615132408,0.0
2101.3401,2379.6,977.9,2.2601,99.7031,0.4224,2.25799500000001,1.0,0.998640840446487,2.43337764597607,5373.12490200003,2208.09331050001,0.582391787992617,2.74318268607882,1.09,0.293487035742929,0.0
2101.4924,2388.2,1008.4,2.2553,96.436,0.4463,2.255,1.0,0.975648063033431,2.36830622768743,5385.391,2273.942,0.545326346289769,2.73725221540636,1.09,0.292761612882333,0.0
2101.6448,2413.3,1008.4,2.2551,94.0508,0.4262,2.254104,1.0,0.914386631716884,2.39319714399048,5439.82918319999,2273.0384736,0.518266111968924,2.73292257791503,1.09,0.291443178364912,0.0
