Total Depth,Central Tank Battery,fluid_gal,fluid_gal_per_ft,propp_lbs,propp_lbs_per_ft,max_treat_press,max_treat_rate,cum_oil_365
20848,117768,2421762,252,2757929,287,8461,48,20029
20457,118502,2055648,214,3756800,392,8968,44.8,33989
20640,118759,2544276,258,3681460,374,9366,49,90597
19842,119100,1683654,188,2611100,292,9054,41.3,35224
21235,119135,1585206,154,2590710,252,8549,44.3,52372
20525,119248,788886,78,0,0,8277,42.9,35156
18903,119687,1281924,165,1917748,247,8413,36.1,90198
20770,119755,825069,87,1010057,106.5,8755,35.85,32206
20818,119875,2120454,221,2237626,234,8380,33.6,27350
20890,120121,3387048,363,2138350,229,8139,41.2,32595
21100,120174,1063776,107,2251236,227,9061,38.3,12764
20247,120701,1388268,148,1949560,208,8848,42.4,64526
21615,223849,1756482,164,3131141,293,8592,41.1,32539
20360,221170,1741068,185,2915400,310,8763,43,86970
20285,121251,1209474,131,1492829,162,8957,40.9,25649
20274,221259,555660,58,595285,63,8655,41.3,35678
20350,121320,2149224,224,2750736,287,8590,43.8,40004
20492,121384,1500366,161,2375454,256,9021,44.1,17501
21095,121395,3307122,354,1155038,123,10744,64.2,21399
15360,121523,1185660,220,1455020,270,7620,30.6,108919
21219,121534,2600430,260,2778518,278,8290,34,64623
20600,121540,1563870,170,2844098,309,8353,35.7,25720
21317,121547,706860,67,685638,65,8714,30.9,23305
14591,121597,1104138,271,1339970,329,8170,31.5,14844
20717,121599,2374302,243,2771155,283,7900,31,80490
20780,121690,2225496,228,3043384,313,8300,31,67203
20610,121806,2497782,262,2918184,306,8200,32,136190
20812,121816,2410422,267,2102490,233,9709,25.2,20649
19790,121859,1859550,216,1357792,158,8305,30.5,25014
20625,121896,2405760,272,1466680,165,8120,49.8,79002
21095,121897,1328810,139,2301512,241,8017,56,34647
19964,221259,82866,9,53441,5,6923,20.9,47837
20850,122046,2511012,260,2901523,301,8050,31,69100
20775,122142,2532936,260,3053654,314,8197,31.7,46280
20684,122207,3505446,401,4367708,500,9459,38.4,50703
20590,122276,2562378,273,2809448,299,8200,33,77891
20576,122277,2485266,268,2953202,318,8620,31,45304
21150,122327,2321508,296,3183855,406,7859,30.8,50889
20476,122344,2063838,216,2467482,258,8094,30.7,20223
20440,122383,2707908,291,3199796,344,7858,32.6,43329
20965,122408,2771622,283,3166894,323,8099,38.3,39765
20491,122609,2718954,285,3198576,335,7609,30.9,54507
20571,122641,2912532,298,33189323,3405,8399,33.5,46054
20660,122749,2740458,283,3197329,331,8365,38.4,102179
21050,122812,2602572,275,3048869,323,8410,31.3,22056
20685,122909,2872086,311,3166925,343,8399,36.7,71762
20795,122933,1520232,164,1332584,144,8964,41.6,25750
20830,122951,2413698,250,3125411,323,8150,31,93377
20586,123069,2143638,224,2483922,259,8537,30.4,37753
20481,123088,1470630,273,974263,181,8363,51.9,14568
21100,221170,1092126,107,1635900,160,8693,40.8,81047
20560,123281,2327346,226,2785232,271,8371,31.2,48971
20898,123424,2183286,239,1438471,158,8154,57.8,18948
21861,223849,1733592,159,3048170,280,8647,41.8,29382
21176,220839,1752072,172,3008978,295,8491,41.5,36786
20409,224141,1836072,197,3191960,343,8601,41.7,36618
20509,224141,1908144,201,3164616,334,8629,41,39321
21221,224141,1876308,183,3099457,302,9469,42,29711
21478,224162,1737078,166,3257295,311,8702,42.5,42979
21030,224157,1745604,174,3247872,324,8566,40.8,41807
21811,224162,1863162,172,3254513,301,8778,41.3,47221
24061,224237,1941828,147,3682795,279,8734,41,23739
25610,224237,2010288,137,4004138,274,8655,53.7,37233
21230,221697,1252566,122,1832440,178,9390,34.3,30092
20930,221697,1281504,128,2152399,216,8774,34.7,17465
20605,124574,3032106,381,2757960,347,8104,37.5,54086
20452,124703,1515738,168,1312660,145,8345,47.6,43734
20954,124716,915474,129,844057,119,8137,41.8,68861
20727,124717,1561518,173,1431057,158,8939,41.2,18438
20498,124718,1960686,220,1544698,173,8171,49.5,34136
20266,124822,1953462,216,1939308,214,9621,49.6,59373
19280,225132,1919274,214,1891468,211,8905,42.6,81505
19780,225132,1734222,193,3014465,335,8541,41.9,59330
21075,225132,1793904,175,3110180,304,8487,40.4,54369
20837,126090,2737560,298,1968193,214,8307,37.4,24538
21298,127543,3172688.556,376.7682865,2157286.955,248.5296743,8461.929999,43.12068581,31418
19352,117369,1641654,164,3239600,324,6940,45,77827
18555,117646,3131688,340,5422989,589,8027,40.9,70560
11900,117959,1085513,277,1316340,336,8467,38,16691
18790,118084,1566600,179,2014071,231,5468,40,120212
18697,118099,1391460,152,1824135,199,6689,43,121154
18635,118265,1913688,215,1998380,225,6055,48.4,76719
18763,118293,1682646,182,1580296,171,7635,45,50550
14141,118299,759024,153,1857858,374,5581,20,24008
18198,118375,2579934,305,2641710,313,8556,44,69793
13575,118389,978014,206,2046810,431,7000,26.7,31254
13800,118394,1027,0,2361450,425,7000,25,34508
19010,118410,2058924,211,4049650,415,6921,39.8,54376
14143,118476,899269,159,1857540,329,7244,33.9,39521
13665,118483,1277976,271,634960,134,3487,81.7,26436
18676,118593,2589006,270,4464678,465,8401,35,74711
13640,118608,624815,123,2009400,398,4910,28.1,51590
18520,118657,2462292,254,5031842,520,7595,36.9,79653
14095,118684,1374324,312,2065830,469,9129,23,30050
18158,118961,2232762,265,3564593,424,5096,22,74910
14287,119067,1421448,256,2541700,459,5679,26.8,32639
17856,219098,844326,94,169510,18,5781,22.8,31704
18417,119101,1744344,189,3119005,339,7929,30.4,82702
19125,119224,3280578,350,3265216,348,9150,44,81850
13670,119245,824502,145,1776027,313,5550,36.6,41121
12663,119276,989151,189,2155300,412,5957,36.7,37346
17726,119347,795942,78,1170842,115,6406,25.8,16705
14026,119349,1953252,363,2406830,447,7250,28,28484
14673,119363,1342614,233,2531960,441,4586,29.9,32488
13005,119371,808122,182,1837653,414,6536,25.4,48347
12559,119383,953778,229,1775810,426,6428,27.1,27350
14300,119440,2386776,458,3088300,593,4720,25.2,45932
13178,119465,952224,219,1712201,395,6042,24.9,43635
13505,119479,1083138,254,2016917,473,5933,31.3,45863
18803,119480,2629116,299,2864740,326,8557,39.7,93331
18514,119496,2905896,324,2760986,308,7213,38.7,118298
17840,119700,2230326,268,3996138,481,4955,25.6,68037
11835,119746,553140,130,1399748,329,5859,21.7,31021
12009,119757,932484,225,1863599,449,6651,31.8,14655
18975,119773,756084,90,3488337,417,7827,38,87141
19520,119774,2694846,293,2874767,313,8928,38.5,71305
11820,119947,459858,3930,696649,5953.5,5293.5,17.95,23393
13466,120032,2821854,598,2903340,615,6727,43.9,63348
18499,120076,2719836,300,4267169,470,7077,24.4,84847
